"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2020","5.04","5.04","5.06","5.04","123.73K","0.54%"
"Jan 16, 2020","5.01","5.01","5.03","4.99","4.87M","0.45%"
"Jan 15, 2020","4.99","4.99","4.99","4.96","178.44K","0.24%"
"Jan 14, 2020","4.98","4.97","4.98","4.95","77.38K","0.40%"
"Jan 13, 2020","4.96","4.97","4.98","4.94","67.85K","0.00%"
"Jan 10, 2020","4.96","4.99","4.99","4.96","105.09K","-0.40%"
"Jan 09, 2020","4.98","4.99","4.99","4.96","49.73K","0.33%"
"Jan 08, 2020","4.96","4.94","4.96","4.92","335.41K","0.25%"
"Jan 07, 2020","4.95","4.95","4.96","4.93","85.75K","0.54%"
"Jan 06, 2020","4.92","4.93","4.93","4.89","148.47K","-0.31%"
"Jan 03, 2020","4.94","4.93","4.95","4.91","103.83K","0.00%"
"Jan 02, 2020","4.94","4.97","4.99","4.94","183.29K","-0.39%"
"Dec 30, 2019","4.96","4.97","4.97","4.94","62.90K","0.00%"
"Dec 27, 2019","4.96","5.01","5.01","4.95","204.33K","-0.26%"
"Dec 23, 2019","4.97","4.98","4.99","4.97","120.79K","-0.20%"
"Dec 20, 2019","4.98","4.95","4.99","4.93","180.17K","1.19%"
"Dec 19, 2019","4.93","4.94","4.94","4.91","77.14K","0.33%"
"Dec 18, 2019","4.91","4.92","4.92","4.89","92.68K","0.43%"
"Dec 17, 2019","4.89","4.92","4.92","4.89","79.46K","-0.58%"
"Dec 16, 2019","4.92","4.91","4.92","4.88","58.86K","1.12%"
"Dec 13, 2019","4.86","4.90","4.91","4.85","91.59K","0.21%"
"Dec 12, 2019","4.85","4.86","4.87","4.83","35.21K","0.28%"
"Dec 11, 2019","4.84","4.87","4.87","4.83","87.65K","-0.41%"
"Dec 10, 2019","4.86","4.87","4.87","4.83","64.96K","-0.29%"
"Dec 09, 2019","4.87","4.88","4.88","4.87","117.65K","-0.34%"
"Dec 06, 2019","4.89","4.84","4.89","4.83","37.23K","1.51%"
"Dec 05, 2019","4.82","4.84","4.84","4.82","79.23K","0.00%"
"Dec 04, 2019","4.82","4.78","4.83","4.78","85.95K","1.42%"
"Dec 03, 2019","4.75","4.82","4.82","4.75","404.26K","-0.65%"
"Dec 02, 2019","4.78","4.88","4.88","4.78","51.04K","-1.51%"
"Nov 29, 2019","4.86","4.88","4.88","4.85","67.51K","-0.46%"
"Nov 28, 2019","4.88","4.88","4.88","4.87","35.66K","0.00%"
"Nov 27, 2019","4.88","4.89","4.89","4.87","149.11K","0.39%"
"Nov 26, 2019","4.87","4.88","4.88","4.83","109.17K","0.56%"
"Nov 25, 2019","4.84","4.82","4.84","4.80","75.98K","1.19%"
"Nov 22, 2019","4.78","4.78","4.79","4.77","64.78K","0.58%"
"Nov 21, 2019","4.75","4.78","4.79","4.75","149.65K","-0.88%"
"Nov 20, 2019","4.80","4.79","4.80","4.76","67.23K","0.20%"
"Nov 19, 2019","4.79","4.81","4.81","4.77","135.44K","0.00%"
"Nov 18, 2019","4.79","4.81","4.81","4.78","47.55K","-0.24%"
"Nov 15, 2019","4.80","4.81","4.81","4.79","57.56K","0.31%"
"Nov 14, 2019","4.78","4.79","4.79","4.78","29.88K","0.00%"
"Nov 13, 2019","4.78","4.80","4.80","4.76","81.97K","-0.39%"
"Nov 12, 2019","4.80","4.81","4.81","4.78","134.80K","0.52%"
"Nov 11, 2019","4.78","4.77","4.79","4.76","33.64K","-0.16%"
"Nov 08, 2019","4.78","4.77","4.79","4.76","48.85K","0.00%"
"Nov 07, 2019","4.79","4.79","4.79","4.78","70.74K","0.77%"
"Nov 06, 2019","4.75","4.76","4.76","4.74","77.88K","-0.39%"
"Nov 05, 2019","4.77","4.75","4.77","4.74","125.68K","0.90%"
"Nov 04, 2019","4.73","4.72","4.74","4.72","68.31K","0.69%"
"Nov 01, 2019","4.70","4.66","4.70","4.66","98.15K","1.21%"
"Oct 31, 2019","4.64","4.66","4.67","4.63","59.49K","-0.51%"
"Oct 30, 2019","4.66","4.69","4.69","4.66","32.14K","-0.57%"
"Oct 29, 2019","4.69","4.69","4.69","4.67","110.51K","0.12%"
"Oct 28, 2019","4.68","4.68","4.69","4.67","44.76K","0.25%"
"Oct 25, 2019","4.67","4.65","4.67","4.63","11.72K","0.64%"
"Oct 24, 2019","4.64","4.64","4.64","4.63","19.70K","0.30%"
"Oct 23, 2019","4.63","4.62","4.64","4.61","80.67K","0.27%"
"Oct 22, 2019","4.62","4.63","4.63","4.62","36.99K","-0.22%"
"Oct 21, 2019","4.63","4.60","4.63","4.60","74.29K","0.92%"
"Oct 18, 2019","4.59","4.59","4.61","4.59","8.28K","-0.32%"
"Oct 17, 2019","4.60","4.59","4.62","4.59","27.69K","0.00%"
"Oct 16, 2019","4.60","4.61","4.61","4.59","24.66K","-0.23%"
"Oct 15, 2019","4.61","4.60","4.62","4.59","55.11K","0.81%"
"Oct 14, 2019","4.57","4.59","4.59","4.55","35.92K","-0.76%"
"Oct 11, 2019","4.61","4.53","4.61","4.53","262.50K","1.88%"
"Oct 10, 2019","4.53","4.51","4.53","4.49","67.42K","0.33%"
"Oct 09, 2019","4.51","4.51","4.53","4.50","21.04K","0.13%"
"Oct 08, 2019","4.50","4.56","4.56","4.50","45.12K","-1.13%"
"Oct 07, 2019","4.56","4.53","4.56","4.53","42.54K","0.59%"
"Oct 04, 2019","4.53","4.51","4.54","4.50","398.70K","0.98%"
"Oct 02, 2019","4.49","4.58","4.58","4.49","126.74K","-2.67%"
"Oct 01, 2019","4.61","4.66","4.66","4.61","84.24K","-0.36%"
"Sep 30, 2019","4.62","4.62","4.63","4.61","30.33K","0.00%"
"Sep 27, 2019","4.63","4.65","4.65","4.62","88.58K","0.00%"
"Sep 26, 2019","4.63","4.65","4.67","4.63","16.70K","0.00%"
"Sep 25, 2019","4.63","4.63","4.63","4.59","114.80K","-0.17%"
"Sep 24, 2019","4.64","4.68","4.68","4.64","53.09K","-0.33%"
"Sep 23, 2019","4.65","4.67","4.67","4.63","108.94K","-0.43%"
"Sep 20, 2019","4.67","4.65","4.67","4.64","36.55K","0.00%"
"Sep 19, 2019","4.67","4.64","4.67","4.63","25.71K","1.00%"
"Sep 18, 2019","4.62","4.65","4.65","4.62","27.83K","-0.37%"
"Sep 17, 2019","4.64","4.66","4.67","4.63","23.97K","-0.58%"
"Sep 16, 2019","4.67","4.64","4.67","4.63","273.08K","0.32%"
"Sep 13, 2019","4.65","4.64","4.66","4.63","234.10K","0.48%"
"Sep 12, 2019","4.63","4.65","4.67","4.63","30.55K","0.14%"
"Sep 11, 2019","4.62","4.59","4.62","4.58","31.17K","1.64%"
"Sep 10, 2019","4.55","4.53","4.55","4.53","8.96K","0.00%"
"Sep 09, 2019","4.54","4.56","4.56","4.52","83.76K","0.00%"
"Sep 06, 2019","4.54","4.55","4.55","4.53","20.94K","0.39%"
"Sep 05, 2019","4.53","4.52","4.53","4.50","82.40K","1.09%"
"Sep 04, 2019","4.48","4.49","4.49","4.47","50.79K","0.53%"
"Sep 03, 2019","4.45","4.47","4.50","4.45","392.82K","-0.71%"
"Sep 02, 2019","4.49","4.50","4.50","4.48","123.03K","0.00%"
"Aug 30, 2019","4.48","4.47","4.50","4.47","77.85K","0.72%"
"Aug 29, 2019","4.45","4.40","4.46","4.40","644.03K","0.94%"
"Aug 28, 2019","4.41","4.39","4.41","4.37","62.22K","0.00%"
"Aug 27, 2019","4.41","4.40","4.44","4.39","90.65K","0.15%"
"Aug 26, 2019","4.40","4.39","4.43","4.38","96.14K","0.00%"
"Aug 23, 2019","4.40","4.47","4.49","4.40","85.66K","-1.25%"
"Aug 22, 2019","4.46","4.47","4.48","4.45","31.24K","-0.19%"
"Aug 21, 2019","4.46","4.45","4.47","4.45","26.74K","0.51%"
"Aug 20, 2019","4.44","4.47","4.47","4.44","36.59K","-0.37%"
"Aug 19, 2019","4.46","4.43","4.46","4.43","65.93K","1.25%"
"Aug 16, 2019","4.40","4.34","4.40","4.34","20.30K","1.52%"
"Aug 15, 2019","4.34","4.40","4.40","4.30","66.70K","-0.47%"
"Aug 14, 2019","4.36","4.42","4.42","4.35","46.22K","-1.63%"
"Aug 13, 2019","4.43","4.38","4.44","4.36","24.14K","0.78%"
"Aug 12, 2019","4.40","4.46","4.47","4.40","9.38K","-0.75%"
"Aug 09, 2019","4.43","4.48","4.48","4.43","57.99K","-0.61%"
"Aug 08, 2019","4.46","4.42","4.46","4.40","48.13K","2.03%"
"Aug 07, 2019","4.37","4.40","4.42","4.33","81.82K","0.23%"
"Aug 06, 2019","4.36","4.37","4.41","4.36","209.21K","-0.49%"
"Aug 05, 2019","4.38","4.47","4.47","4.38","109.49K","-2.57%"
"Aug 02, 2019","4.49","4.57","4.57","4.49","291.40K","-3.46%"
"Aug 01, 2019","4.66","4.64","4.66","4.63","48.26K","0.28%"
