"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2019","5.07","5.06","5.07","5.06","44.56K","0.20%"
"May 23, 2019","5.06","5.06","5.07","5.05","93.40K","0.20%"
"May 22, 2019","5.05","5.05","5.06","5.05","95.36K","0.20%"
"May 21, 2019","5.04","5.05","5.06","5.04","598.70K","-0.20%"
"May 20, 2019","5.05","5.06","5.06","5.05","263.36K","-0.20%"
"May 17, 2019","5.06","5.06","5.06","5.06","74.99K","0.20%"
"May 16, 2019","5.05","5.06","5.06","5.05","60.88K","0.00%"
"May 15, 2019","5.05","5.06","5.07","5.05","84.50K","0.00%"
"May 14, 2019","5.05","5.05","5.06","5.04","156.90K","0.00%"
"May 13, 2019","5.05","5.05","5.05","5.04","40.37K","0.20%"
"May 10, 2019","5.04","5.04","5.04","5.04","55.81K","0.00%"
"May 09, 2019","5.04","5.05","5.05","5.04","153.95K","-0.40%"
"May 08, 2019","5.06","5.05","5.06","5.05","88.54K","0.20%"
"May 07, 2019","5.05","5.04","5.06","5.04","484.93K","0.20%"
"May 06, 2019","5.04","5.06","5.06","5.04","110.91K","0.00%"
"May 03, 2019","5.04","5.03","5.04","5.03","76.97K","0.20%"
"May 02, 2019","5.03","5.04","5.05","5.03","239.51K","0.00%"
"Apr 30, 2019","5.03","5.04","5.04","5.03","276.15K","-0.20%"
"Apr 29, 2019","5.04","5.04","5.04","5.03","68.19K","0.00%"
"Apr 26, 2019","5.04","5.04","5.04","5.04","89.60K","0.20%"
"Apr 25, 2019","5.03","5.04","5.04","5.03","48.20K","-0.20%"
"Apr 24, 2019","5.04","5.03","5.04","5.02","144.81K","0.40%"
"Apr 23, 2019","5.02","5.03","5.03","5.02","113.82K","-0.20%"
"Apr 18, 2019","5.03","5.03","5.03","5.02","34.78K","0.20%"
"Apr 17, 2019","5.02","5.02","5.02","5.01","49.50K","0.00%"
"Apr 16, 2019","5.02","5.03","5.03","5.02","156.92K","-0.20%"
"Apr 15, 2019","5.03","5.04","5.04","5.03","158.36K","0.00%"
"Apr 12, 2019","5.03","5.04","5.04","5.03","163.26K","-0.20%"
"Apr 11, 2019","5.04","5.04","5.05","5.04","245.71K","0.00%"
"Apr 10, 2019","5.04","5.04","5.05","5.04","75.13K","0.00%"
"Apr 09, 2019","5.04","5.04","5.04","5.03","151.51K","0.20%"
"Apr 08, 2019","5.03","5.04","5.04","5.03","14.73K","0.00%"
"Apr 05, 2019","5.03","5.02","5.04","5.02","191.49K","0.00%"
"Apr 04, 2019","5.03","5.03","5.04","5.03","115.54K","0.00%"
"Apr 03, 2019","5.03","5.04","5.04","5.02","209.37K","-0.20%"
"Apr 02, 2019","5.04","5.04","5.05","5.04","589.14K","0.00%"
"Apr 01, 2019","5.04","5.05","5.05","5.04","160.26K","-0.20%"
"Mar 29, 2019","5.05","5.06","5.06","5.05","137.19K","0.00%"
"Mar 28, 2019","5.05","5.07","5.07","5.05","42.00K","0.00%"
"Mar 27, 2019","5.05","5.05","5.06","5.05","52.83K","0.00%"
"Mar 26, 2019","5.05","5.04","5.05","5.04","78.14K","0.00%"
"Mar 25, 2019","5.05","5.05","5.05","5.04","133.76K","0.00%"
"Mar 22, 2019","5.05","5.03","5.05","5.02","75.72K","0.60%"
"Mar 21, 2019","5.02","5.02","5.03","5.02","38.55K","0.20%"
"Mar 20, 2019","5.01","5.01","5.01","5.00","156.57K","0.20%"
"Mar 19, 2019","5.00","5.00","5.01","5.00","228.23K","-0.20%"
"Mar 18, 2019","5.01","5.01","5.01","5.00","44.74K","0.20%"
